                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0893,                0.96718,                 1.1456,                0.92801,                0.53743,                0.60543,                0.37937,                 1.6151,                 1.9962,                 1.6433,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1028,                0.96036,                 1.1879,                0.78962,                0.62557,                0.66026,                0.35867,                 1.7616,                 1.7092,                 1.7321,               0.001307,               0.001307,               0.001307
                     37,                 1.1419,                0.92313,                 1.1779,                0.93685,                0.61853,                0.66787,                0.39781,                 1.5872,                 1.4978,                 1.5601,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1363,                0.94288,                 1.1457,                0.84808,                0.54167,                0.61351,                0.34529,                 1.7045,                 1.5999,                  1.628,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0741,                0.90355,                 1.1411,                0.98245,                0.54167,                 0.6634,                0.36337,                 1.7102,                 1.7168,                 1.6322,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0292,                0.89163,                 1.1338,                0.57477,                0.54167,                0.55826,                0.35008,                 1.5803,                 1.6246,                 1.5069,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0341,                0.89241,                 1.1437,                0.91269,                0.43648,                0.57077,                0.34818,                 1.7358,                 1.7055,                 1.5646,               0.001208,               0.001208,               0.001208
                     42,                 1.0215,                0.89664,                  1.115,                0.68785,                    0.5,                0.55901,                0.32584,                 1.7949,                  1.673,                 1.6258,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0222,                0.86514,                 1.1394,                0.65227,                0.54167,                0.60044,                 0.3457,                  1.721,                 1.6459,                 1.5849,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0208,                0.88141,                 1.1358,                 0.6728,                0.51457,                0.58436,                0.38492,                 1.5331,                 1.5994,                 1.4803,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.084,                0.86788,                 1.1605,                0.98667,                0.41667,                0.55314,                0.32193,                 1.6027,                 1.9027,                 1.5283,              0.0011288,              0.0011288,              0.0011288
                     46,                0.96844,                0.88915,                 1.1338,                0.57036,                  0.375,                0.48323,                0.26315,                 1.7091,                 1.9726,                  1.585,               0.001109,               0.001109,               0.001109
                     47,                0.98455,                0.82633,                 1.1106,                0.71246,                0.54167,                0.55316,                 0.3299,                 1.6403,                 1.7082,                 1.5276,              0.0010892,              0.0010892,              0.0010892
                     48,                0.99934,                0.86429,                 1.1376,                0.84137,                0.45833,                0.60338,                0.38337,                 1.5267,                 1.5196,                 1.4651,              0.0010694,              0.0010694,              0.0010694
                     49,                0.97197,                 0.8251,                 1.0778,                 0.8141,                  0.625,                0.65954,                0.40694,                 1.4656,                 1.5232,                   1.45,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0156,                0.78704,                 1.1052,                0.87944,                  0.625,                0.67214,                0.43545,                 1.3952,                 1.4524,                 1.3721,              0.0010298,              0.0010298,              0.0010298
                     51,                0.97647,                0.79764,                 1.0899,                0.75699,                0.64946,                 0.6746,                0.43124,                 1.3962,                 1.4072,                 1.3316,                0.00101,                0.00101,                0.00101
                     52,                0.97049,                0.76576,                 1.0931,                0.97426,                    0.5,                0.60543,                0.38577,                 1.5187,                 1.5609,                 1.3833,              0.0009902,              0.0009902,              0.0009902
                     53,                0.98445,                0.80467,                 1.1164,                0.90145,                    0.5,                0.65495,                0.36369,                 1.5663,                 1.5096,                 1.4546,              0.0009704,              0.0009704,              0.0009704
                     54,                0.93733,                0.78903,                 1.0743,                 0.7972,                    0.5,                0.58423,                0.34707,                 1.5772,                 1.6783,                 1.4442,              0.0009506,              0.0009506,              0.0009506
                     55,                0.89259,                0.70469,                 1.0398,                 0.7662,                0.54167,                0.54862,                0.32831,                 1.6036,                 1.7919,                 1.4678,              0.0009308,              0.0009308,              0.0009308
                     56,                0.83776,                0.66853,                 1.0087,                0.98403,                    0.5,                0.61543,                0.33054,                    1.7,                  1.805,                 1.5203,               0.000911,               0.000911,               0.000911
                     57,                0.84168,                0.68481,                 1.0252,                0.77239,                    0.5,                0.60624,                0.37005,                  1.563,                  1.558,                 1.4601,              0.0008912,              0.0008912,              0.0008912
