                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.93943,                 1.0266,                 1.0217,                0.79975,                0.53258,                0.55952,                0.33907,                 1.5139,                 2.4005,                 1.4829,              0.0013268,              0.0013268,              0.0013268
                     36,                0.93159,                 0.9416,                 1.0258,                0.69295,                0.66667,                0.57745,                0.36721,                 1.5949,                 2.1218,                 1.5242,               0.001307,               0.001307,               0.001307
                     37,                0.96752,                 1.0434,                 1.0423,                0.70719,                    0.6,                0.57329,                0.32933,                 1.6611,                 2.1449,                 1.5998,              0.0012872,              0.0012872,              0.0012872
                     38,                0.91823,                0.98394,                 1.0129,                0.60495,                0.53333,                0.53443,                0.30936,                 1.5639,                 2.2177,                 1.5255,              0.0012674,              0.0012674,              0.0012674
                     39,                0.95864,                0.94825,                 1.0041,                0.93943,                    0.4,                0.49506,                0.28761,                 1.6043,                 2.3956,                 1.5423,              0.0012476,              0.0012476,              0.0012476
                     40,                0.94969,                0.98979,                0.99729,                0.95097,                    0.4,                0.46659,                0.27489,                 1.6441,                  2.526,                 1.5536,              0.0012278,              0.0012278,              0.0012278
                     41,                0.90785,                0.89507,                0.97529,                0.95843,                    0.4,                0.49588,                0.26818,                  1.755,                 2.3928,                 1.6219,               0.001208,               0.001208,               0.001208
                     42,                 0.8355,                0.88219,                0.95487,                 0.8264,                0.46667,                0.52887,                0.26457,                 1.8282,                 2.3169,                 1.6805,              0.0011882,              0.0011882,              0.0011882
                     43,                0.92393,                 0.9215,                 1.0144,                0.62814,                0.53333,                0.56951,                0.28679,                 1.7765,                 2.1726,                 1.6688,              0.0011684,              0.0011684,              0.0011684
                     44,                0.85653,                0.83172,                0.97843,                0.63824,                0.53333,                0.57697,                0.29172,                 1.6877,                 2.1049,                 1.5778,              0.0011486,              0.0011486,              0.0011486
                     45,                0.92754,                0.99603,                 1.0347,                0.69362,                    0.6,                0.62028,                0.34442,                 1.6965,                 2.1304,                 1.5861,              0.0011288,              0.0011288,              0.0011288
                     46,                0.89222,                0.88976,                 1.0027,                0.84832,                0.53333,                0.62979,                0.30827,                 1.6886,                 2.2739,                 1.5693,               0.001109,               0.001109,               0.001109
                     47,                0.83362,                 0.8756,                0.97362,                 0.8065,                0.46667,                0.60193,                0.30739,                 1.6831,                 2.3491,                 1.5544,              0.0010892,              0.0010892,              0.0010892
                     48,                0.86952,                0.82129,                 0.9902,                0.78673,                0.53333,                0.54815,                0.28488,                 1.6347,                 2.3688,                 1.5104,              0.0010694,              0.0010694,              0.0010694
                     49,                 0.8218,                0.80117,                0.94601,                 0.7493,                0.53333,                0.51994,                0.28511,                  1.655,                  2.457,                 1.5761,              0.0010496,              0.0010496,              0.0010496
                     50,                0.80398,                0.80736,                0.96647,                0.74482,                0.46667,                 0.5204,                0.27254,                 1.7217,                 2.3562,                 1.6428,              0.0010298,              0.0010298,              0.0010298
                     51,                0.86873,                0.88025,                0.99868,                      1,                0.46208,                 0.5748,                0.29218,                  1.716,                 2.2478,                 1.6404,                0.00101,                0.00101,                0.00101
                     52,                0.81799,                0.79815,                0.97537,                0.73564,                0.46667,                0.54804,                0.30534,                 1.6134,                 2.2702,                  1.517,              0.0009902,              0.0009902,              0.0009902
                     53,                 0.7837,                0.75597,                0.95404,                0.75543,                0.46667,                0.64297,                0.35797,                 1.5265,                 2.1163,                 1.4509,              0.0009704,              0.0009704,              0.0009704
                     54,                0.76668,                0.74455,                0.93271,                0.79961,                0.53218,                0.70798,                0.40157,                 1.5302,                 1.8872,                 1.4533,              0.0009506,              0.0009506,              0.0009506
                     55,                0.81177,                0.71601,                0.94046,                0.81595,                0.53333,                0.69431,                0.38513,                 1.5632,                 1.8542,                 1.4706,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.8071,                0.71665,                0.95759,                      1,                0.52296,                0.68383,                0.36002,                 1.5267,                 1.8767,                 1.4369,               0.000911,               0.000911,               0.000911
                     57,                0.77874,                 0.7831,                0.91649,                 0.8505,                0.53333,                0.69323,                0.35569,                 1.5005,                 1.9098,                 1.3977,              0.0008912,              0.0008912,              0.0008912
                     58,                0.78017,                0.72165,                0.96323,                0.88798,                0.53333,                0.66886,                0.36734,                 1.4498,                 1.8732,                 1.3614,              0.0008714,              0.0008714,              0.0008714
                     59,                0.79861,                0.73418,                0.94293,                0.78986,                0.53333,                0.65432,                0.34993,                 1.5133,                 1.9204,                 1.4129,              0.0008516,              0.0008516,              0.0008516
                     60,                0.74625,                0.72751,                0.92347,                0.77077,                0.53333,                0.60962,                0.31806,                 1.5769,                 2.0996,                 1.4686,              0.0008318,              0.0008318,              0.0008318
                     61,                0.76642,                0.71455,                0.93276,                0.84566,                0.53333,                0.63868,                0.33548,                 1.5511,                 2.0089,                 1.4465,               0.000812,               0.000812,               0.000812
                     62,                0.70479,                0.66203,                0.91494,                0.81381,                0.58397,                0.64188,                0.34947,                 1.5019,                 2.0157,                  1.414,              0.0007922,              0.0007922,              0.0007922
                     63,                0.74741,                0.73258,                0.95986,                0.74187,                    0.6,                0.65352,                0.38276,                 1.4446,                 1.9817,                 1.3669,              0.0007724,              0.0007724,              0.0007724
                     64,                0.74477,                0.66251,                 0.9236,                0.74966,                  0.599,                0.64555,                0.37016,                 1.4704,                 1.9163,                  1.374,              0.0007526,              0.0007526,              0.0007526
                     65,                0.72908,                0.65156,                0.95196,                0.67522,                0.66667,                 0.6365,                0.35859,                 1.4969,                 1.8657,                 1.3946,              0.0007328,              0.0007328,              0.0007328
                     66,                0.74777,                 0.6698,                0.94104,                0.65392,                    0.6,                0.65484,                0.37659,                 1.5111,                 1.8963,                    1.4,               0.000713,               0.000713,               0.000713
                     67,                0.73022,                0.64939,                0.92851,                0.72533,                    0.6,                0.66457,                0.38662,                 1.4997,                 1.9292,                 1.3871,              0.0006932,              0.0006932,              0.0006932
                     68,                0.67387,                0.62755,                0.91008,                0.88064,                0.53333,                0.66767,                0.39664,                 1.4556,                 1.9274,                 1.3552,              0.0006734,              0.0006734,              0.0006734
                     69,                0.69941,                0.66946,                0.93049,                0.86711,                0.53333,                0.67654,                0.39788,                 1.4702,                 1.9591,                 1.3569,              0.0006536,              0.0006536,              0.0006536
                     70,                0.70058,                0.64262,                0.88926,                0.88841,                0.53106,                0.65942,                0.37266,                 1.4692,                 2.0361,                 1.3574,              0.0006338,              0.0006338,              0.0006338
                     71,                0.72833,                0.64906,                0.95859,                0.79822,                0.52799,                0.65853,                0.35567,                 1.4594,                 2.0699,                 1.3642,               0.000614,               0.000614,               0.000614
                     72,                0.68445,                0.60986,                0.89549,                0.85274,                0.46667,                0.65496,                 0.3587,                 1.4211,                 1.9699,                 1.3358,              0.0005942,              0.0005942,              0.0005942
                     73,                0.74884,                0.68827,                 0.9623,                0.60512,                0.66667,                0.69715,                0.37656,                 1.4132,                 1.8418,                 1.2964,              0.0005744,              0.0005744,              0.0005744
                     74,                0.76234,                0.65238,                0.92717,                0.61921,                0.65123,                0.67111,                0.38065,                 1.3902,                 1.7812,                 1.2804,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.7014,                0.63528,                0.94003,                0.64291,                    0.6,                0.65683,                0.38524,                 1.4014,                 1.7464,                 1.2911,              0.0005348,              0.0005348,              0.0005348
                     76,                0.65842,                0.62041,                0.92082,                0.61034,                    0.6,                 0.6572,                0.37792,                 1.4298,                 1.8353,                 1.3109,               0.000515,               0.000515,               0.000515
                     77,                 0.6458,                0.59969,                0.90491,                0.68708,                0.58641,                0.68105,                0.38511,                 1.4826,                 1.8448,                 1.3479,              0.0004952,              0.0004952,              0.0004952
                     78,                0.65524,                 0.5996,                0.90429,                 0.5346,                0.68999,                0.68886,                0.37738,                  1.512,                 1.7592,                  1.364,              0.0004754,              0.0004754,              0.0004754
                     79,                0.69731,                0.60884,                0.90505,                0.74785,                0.59368,                0.73229,                0.39788,                 1.5303,                 1.7201,                 1.3788,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.6987,                0.59547,                0.91437,                0.70129,                0.62726,                0.73539,                0.37782,                 1.5523,                 1.6887,                 1.3925,              0.0004358,              0.0004358,              0.0004358
                     81,                0.62764,                0.62723,                0.91778,                0.74983,                    0.6,                0.74053,                0.39811,                 1.5137,                 1.7015,                  1.371,               0.000416,               0.000416,               0.000416
                     82,                0.70572,                0.66096,                0.94042,                0.76807,                0.66264,                 0.7461,                0.41394,                 1.4734,                 1.6568,                 1.3454,              0.0003962,              0.0003962,              0.0003962
