                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5076,                 3.5143,                 1.4613,                0.00351,                0.86957,                  0.081,                0.03701,                 1.3775,                 4.2051,                  1.354,                0.00016,                0.00016,                0.00016
                      2,                 1.3608,                 2.5375,                  1.281,                0.00368,                0.91304,                0.34496,                  0.223,                 1.3314,                 3.8136,                 1.2213,             0.00033663,             0.00033663,             0.00033663
                      3,                 1.2983,                 2.0507,                 1.2319,                0.00351,                0.86957,                 0.3924,                0.22538,                 1.3042,                 3.7217,                 1.2137,              0.0005097,              0.0005097,              0.0005097
                      4,                 1.2658,                 1.7477,                 1.2121,                0.00386,                0.95652,                0.43809,                0.24181,                 1.4768,                 3.6544,                 1.2549,             0.00067921,             0.00067921,             0.00067921
                      5,                 1.2764,                 1.7264,                 1.2055,                0.00298,                0.73913,                0.17805,                0.08537,                 1.5107,                 3.9619,                 1.3779,             0.00084515,             0.00084515,             0.00084515
                      6,                 1.3468,                 1.8899,                 1.3144,                0.64659,                0.08172,                0.14678,                0.09614,                 1.5709,                 3.9885,                 1.4285,              0.0010075,              0.0010075,              0.0010075
                      7,                  1.231,                 1.6766,                 1.2199,                0.53859,                0.26087,                0.24729,                0.13045,                 1.5475,                 3.7653,                 1.4929,              0.0011663,              0.0011663,              0.0011663
                      8,                 1.2771,                  1.712,                 1.2871,                0.20388,                0.26087,                0.13511,                0.06692,                 1.6647,                 4.1775,                 1.5546,              0.0013216,              0.0013216,              0.0013216
                      9,                 1.2618,                 1.6893,                 1.2431,                0.45655,                0.21931,                0.27959,                0.18554,                 1.6348,                 3.4983,                 1.5236,              0.0014733,              0.0014733,              0.0014733
                     10,                 1.2524,                 1.5403,                 1.2306,                0.61658,                0.30435,                0.32237,                0.16912,                 1.7212,                 3.2335,                 1.6172,              0.0016214,              0.0016214,              0.0016214
                     11,                 1.3455,                 1.5876,                  1.311,                0.65314,                 0.5734,                0.53951,                0.34613,                 1.5719,                 2.5898,                 1.4756,               0.001766,               0.001766,               0.001766
                     12,                 1.3752,                 1.6673,                 1.3203,                0.60782,                 0.5396,                0.50739,                0.27877,                 1.5785,                 2.5584,                 1.5593,              0.0017822,              0.0017822,              0.0017822
