                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2602,                 3.3651,                 1.4233,                0.00333,                      1,                0.02059,                0.00706,                 1.3322,                 4.0732,                 1.4335,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.1388,                 2.8601,                 1.3181,                0.00333,                      1,                0.71457,                0.45498,                0.90193,                 3.3374,                 1.0748,             0.00017822,             0.00017822,             0.00017822
                      3,                 1.1694,                 2.1953,                 1.2426,                0.00333,                      1,                0.95571,                0.61245,                 1.0158,                 2.9799,                 1.1373,             0.00027446,             0.00027446,             0.00027446
                      4,                 1.0415,                 1.8899,                  1.124,                0.00333,                      1,                0.88362,                0.58801,                0.99273,                 3.0673,                 1.0835,             0.00036871,             0.00036871,             0.00036871
                      5,                 1.0202,                 1.6371,                 1.1492,                0.00333,                      1,                0.87999,                0.62939,                0.97283,                 2.9982,                 1.0707,             0.00046099,             0.00046099,             0.00046099
                      6,                 1.0626,                 1.5953,                 1.2061,                      1,                0.20753,                  0.995,                0.66098,                 1.0326,                 2.8819,                 1.1152,             0.00055129,             0.00055129,             0.00055129
                      7,                 1.0029,                  1.452,                 1.1689,                0.00333,                      1,                0.68799,                0.32971,                 1.0365,                 3.4616,                 1.2417,             0.00063961,             0.00063961,             0.00063961
                      8,                 1.1605,                 1.5792,                  1.267,                0.00333,                      1,                 0.3127,                0.17908,                 1.0212,                  3.658,                 1.2583,             0.00072595,             0.00072595,             0.00072595
                      9,                 1.1349,                 1.5266,                 1.2229,                0.12031,                0.11111,                0.12608,                0.09672,                 1.0354,                 3.8542,                 1.3169,              0.0008103,              0.0008103,              0.0008103
                     10,                 1.0945,                 1.5399,                  1.172,                0.06445,                0.22222,                0.19904,                0.14543,                 1.1104,                 3.7105,                 1.3831,             0.00089268,             0.00089268,             0.00089268
